[2024-11-15 09:01:15,869] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@1f89ab83, name=log4j:logger=kafka.controller (kafka.controller)
[2024-11-15 09:01:32,969] INFO [ControllerEventThread controllerId=0] Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2024-11-15 09:01:33,003] INFO [Controller id=0] 0 successfully elected as the controller. Epoch incremented to 1 and epoch zk version is now 1 (kafka.controller.KafkaController)
[2024-11-15 09:01:33,003] INFO [Controller id=0] Registering handlers (kafka.controller.KafkaController)
[2024-11-15 09:01:33,009] INFO [Controller id=0] Deleting log dir event notifications (kafka.controller.KafkaController)
[2024-11-15 09:01:33,013] INFO [Controller id=0] Deleting isr change notifications (kafka.controller.KafkaController)
[2024-11-15 09:01:33,016] INFO [Controller id=0] Initializing controller context (kafka.controller.KafkaController)
[2024-11-15 09:01:33,078] INFO [Controller id=0] Initialized broker epochs cache: Map(0 -> 24) (kafka.controller.KafkaController)
[2024-11-15 09:01:33,084] DEBUG [Controller id=0] Register BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2024-11-15 09:01:33,094] DEBUG [Channel manager on controller 0]: Controller 0 trying to connect to broker 0 (kafka.controller.ControllerChannelManager)
[2024-11-15 09:01:33,112] INFO [Controller id=0] Currently active brokers in the cluster: Set(0) (kafka.controller.KafkaController)
[2024-11-15 09:01:33,112] INFO [RequestSendThread controllerId=0] Starting (kafka.controller.RequestSendThread)
[2024-11-15 09:01:33,112] INFO [Controller id=0] Currently shutting brokers in the cluster: Set() (kafka.controller.KafkaController)
[2024-11-15 09:01:33,113] INFO [Controller id=0] Current list of topics in the cluster: Set() (kafka.controller.KafkaController)
[2024-11-15 09:01:33,113] INFO [Controller id=0] Fetching topic deletions in progress (kafka.controller.KafkaController)
[2024-11-15 09:01:33,116] INFO [Controller id=0] List of topics to be deleted:  (kafka.controller.KafkaController)
[2024-11-15 09:01:33,116] INFO [Controller id=0] List of topics ineligible for deletion:  (kafka.controller.KafkaController)
[2024-11-15 09:01:33,116] INFO [Controller id=0] Initializing topic deletion manager (kafka.controller.KafkaController)
[2024-11-15 09:01:33,117] INFO [Topic Deletion Manager 0] Initializing manager with initial deletions: Set(), initial ineligible deletions: Set() (kafka.controller.TopicDeletionManager)
[2024-11-15 09:01:33,117] INFO [Controller id=0] Sending update metadata request (kafka.controller.KafkaController)
[2024-11-15 09:01:33,149] INFO [RequestSendThread controllerId=0] Controller 0 connected to localhost:9092 (id: 0 rack: null) for sending state change requests (kafka.controller.RequestSendThread)
[2024-11-15 09:01:33,158] INFO [ReplicaStateMachine controllerId=0] Initializing replica state (kafka.controller.ZkReplicaStateMachine)
[2024-11-15 09:01:33,161] INFO [ReplicaStateMachine controllerId=0] Triggering online replica state changes (kafka.controller.ZkReplicaStateMachine)
[2024-11-15 09:01:33,164] INFO [ReplicaStateMachine controllerId=0] Triggering offline replica state changes (kafka.controller.ZkReplicaStateMachine)
[2024-11-15 09:01:33,165] DEBUG [ReplicaStateMachine controllerId=0] Started replica state machine with initial state -> Map() (kafka.controller.ZkReplicaStateMachine)
[2024-11-15 09:01:33,165] INFO [PartitionStateMachine controllerId=0] Initializing partition state (kafka.controller.ZkPartitionStateMachine)
[2024-11-15 09:01:33,166] INFO [PartitionStateMachine controllerId=0] Triggering online partition state changes (kafka.controller.ZkPartitionStateMachine)
[2024-11-15 09:01:33,173] DEBUG [PartitionStateMachine controllerId=0] Started partition state machine with initial state -> Map() (kafka.controller.ZkPartitionStateMachine)
[2024-11-15 09:01:33,174] INFO [Controller id=0] Ready to serve as the new controller with epoch 1 (kafka.controller.KafkaController)
[2024-11-15 09:01:33,188] INFO [Controller id=0] Partitions undergoing preferred replica election:  (kafka.controller.KafkaController)
[2024-11-15 09:01:33,189] INFO [Controller id=0] Partitions that completed preferred replica election:  (kafka.controller.KafkaController)
[2024-11-15 09:01:33,189] INFO [Controller id=0] Skipping preferred replica election for partitions due to topic deletion:  (kafka.controller.KafkaController)
[2024-11-15 09:01:33,189] INFO [Controller id=0] Resuming preferred replica election for partitions:  (kafka.controller.KafkaController)
[2024-11-15 09:01:33,190] INFO [Controller id=0] Starting replica leader election (PREFERRED) for partitions  triggered by ZkTriggered (kafka.controller.KafkaController)
[2024-11-15 09:01:33,199] INFO [Controller id=0] Starting the controller scheduler (kafka.controller.KafkaController)
[2024-11-15 09:01:38,200] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2024-11-15 09:01:38,200] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2024-11-15 09:03:54,775] INFO [Controller id=0] New topics: [Set(tp-meteo)], deleted topics: [Set()], new partition replica assignment [Map(tp-meteo-0 -> ReplicaAssignment(replicas=0, addingReplicas=, removingReplicas=))] (kafka.controller.KafkaController)
[2024-11-15 09:03:54,776] INFO [Controller id=0] New partition creation callback for tp-meteo-0 (kafka.controller.KafkaController)
[2024-11-15 09:06:38,202] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2024-11-15 09:06:38,202] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2024-11-15 09:06:38,204] DEBUG [Controller id=0] Topics not in preferred replica for broker 0 Map() (kafka.controller.KafkaController)
[2024-11-15 09:06:38,205] TRACE [Controller id=0] Leader imbalance ratio for broker 0 is 0.0 (kafka.controller.KafkaController)
[2024-11-15 09:11:38,205] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2024-11-15 09:11:38,205] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2024-11-15 09:11:38,206] DEBUG [Controller id=0] Topics not in preferred replica for broker 0 Map() (kafka.controller.KafkaController)
[2024-11-15 09:11:38,206] TRACE [Controller id=0] Leader imbalance ratio for broker 0 is 0.0 (kafka.controller.KafkaController)
[2024-11-15 09:16:38,206] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2024-11-15 09:16:38,206] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2024-11-15 09:16:38,206] DEBUG [Controller id=0] Topics not in preferred replica for broker 0 Map() (kafka.controller.KafkaController)
[2024-11-15 09:16:38,206] TRACE [Controller id=0] Leader imbalance ratio for broker 0 is 0.0 (kafka.controller.KafkaController)
[2024-11-15 09:21:38,207] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2024-11-15 09:21:38,207] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2024-11-15 09:21:38,207] DEBUG [Controller id=0] Topics not in preferred replica for broker 0 Map() (kafka.controller.KafkaController)
[2024-11-15 09:21:38,207] TRACE [Controller id=0] Leader imbalance ratio for broker 0 is 0.0 (kafka.controller.KafkaController)
[2024-11-15 09:26:38,207] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2024-11-15 09:26:38,208] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2024-11-15 09:26:38,208] DEBUG [Controller id=0] Topics not in preferred replica for broker 0 Map() (kafka.controller.KafkaController)
[2024-11-15 09:26:38,208] TRACE [Controller id=0] Leader imbalance ratio for broker 0 is 0.0 (kafka.controller.KafkaController)
[2024-11-15 09:27:15,632] INFO [Controller id=0] New topics: [Set(mon_topic)], deleted topics: [Set()], new partition replica assignment [Map(mon_topic-0 -> ReplicaAssignment(replicas=0, addingReplicas=, removingReplicas=))] (kafka.controller.KafkaController)
[2024-11-15 09:27:15,632] INFO [Controller id=0] New partition creation callback for mon_topic-0 (kafka.controller.KafkaController)
[2024-11-15 09:27:15,646] INFO [RequestSendThread controllerId=0] Controller 0 connected to localhost:9092 (id: 0 rack: null) for sending state change requests (kafka.controller.RequestSendThread)
